"Organism","Limb_width","Limb_length","Observer"
"species5",3.28,8.52421099558211,"Elle"
"species2",1.8973503712659,14.3598247703937,"Elle"
"species2",2.32559664079384,8.25763775522195,"Claire"
"species2",2.13688324551827,12.5925188294412,"Claire"
"species1",2.51233661740918,8.0465751068051,"Claire"
"species3",2.40882972318704,4.53606395449247,"Elle"
"species4",1.89510341438575,16.0500525522013,"Ryan"
"species3",2.18908388610425,13.7045000563714,"Claire"
"species3",1.52729558443805,18.6213111957823,"Claire"
"species3",2.42846150544966,10.3257696628965,"Claire"
"species4",1.76948083055782,15.6250137291409,"Claire"
"species4",3.2083866768941,19.8770952700954,"Claire"
"species3",1.17447555215591,8.59258942480517,"Claire"
"species4",1.76800637851699,3.38524443622392,"Ryan"
"species2",2.41268993137962,8.80324216430942,"Ryan"
"species3",2.25506627343933,8.92979380007308,"Ryan"
"species4",1.7052594807425,10.7584025225466,"Ryan"
"species2",1.50160962889624,18.5615248865964,"Ryan"
"species1",2.07223785235535,8.36928053747326,"Elle"
"species3",1.99284629341654,11.8650232790246,"Ryan"
"species4",1.10485938136797,8.86157967552234,"Elle"
"species1",2.01727553356693,10.1022535426252,"Elle"
"species1",2.09511515784623,11.5702883175313,"Claire"
"species4",2.08736319849092,16.6410734801849,"Claire"
"species4",1.47249147869866,10.6065918874539,"Ryan"
"species5",2.23806663915131,13.5642116001556,"Elle"
"species1",2.68928506847962,13.8943001489177,"Elle"
"species4",2.22811820158991,14.5738663542782,"Ryan"
"species5",1.43220576481283,7.12802723907808,"Claire"
"species3",1.78217726515405,18.1344060709734,"Claire"
"species2",2.1730518097768,8.09521630352993,"Elle"
"species5",1.67647718434087,9.47107916175124,"Ryan"
"species4",0.921176832492361,17.0202513385709,"Claire"
"species4",2.4421254100141,16.4704195307279,"Elle"
"species1",1.58526119418774,4.55004063794381,"Ryan"
"species3",1.71321986461586,5.63464499791268,"Claire"
"species3",2.75195030450227,3.20960470314693,"Elle"
"species3",1.6129275351973,10.9092359630992,"Elle"
"species5",2.42286577009465,10.8242043395923,"Elle"
"species2",1.36965856059061,11.8205734367753,"Elle"
"species5",1.82272879846301,12.7607885710928,"Elle"
"species2",1.96322199043176,6.99053577007492,"Ryan"
"species1",1.41567428778782,5.03150704450643,"Ryan"
"species4",1.68262586754555,15.1339252803745,"Claire"
"species2",1.98557922353584,13.7553065130316,"Ryan"
"species2",2.33534798436697,2.45416731335649,"Ryan"
"species3",1.17472672828745,9.52426274575357,"Claire"
"species5",1.82512288039437,5.52026088621751,"Ryan"
"species1",2.37820321927274,0.2,"Elle"
"species3",1.7305954200112,10.7506006559407,"Claire"
"species3",2.11364596083647,9.60394145370706,"Claire"
"species2",2.24611428503222,9.5131536624346,"Elle"
"species5",2.13391750766584,11.0807627090062,"Elle"
"species1",2.32662883973569,14.4123258219829,"Ryan"
"species4",1.93864566951131,11.0279875224169,"Claire"
"species4",1.79316174320394,6.91782078563236,"Claire"
"species1",0.678425523985511,6.3260037403936,"Ryan"
"species3",1.95352949076026,9.3409860347941,"Claire"
"species4",2.21514234817999,11.5500849328948,"Ryan"
"species4",2.26769942043408,4.80159823648979,"Ryan"
"species1",1.72236082434337,9.07845565578808,"Elle"
"species5",2.88975145488757,14.8363363008396,"Ryan"
"species3",2.14321220981441,9.45859954382757,"Ryan"
"species4",2.06315792922944,6.50789666202805,"Ryan"
"species2",2.63613338973426,8.6202741578723,"Ryan"
"species3",1.64076688934037,15.5732427268099,"Ryan"
"species2",1.77483068803764,12.7502198060707,"Ryan"
"species3",3.19872624002488,16.183379000408,"Claire"
"species3",2.00556459361044,10.6954892858089,"Claire"
"species1",2.81678421070415,12.0513754824521,"Ryan"
"species5",1.28074667754274,7.20771543825934,"Ryan"
"species4",1.90474159897855,13.0268533446517,"Claire"
"species4",2.18921195181842,7.4683322890538,"Elle"
"species5",2.1500192726029,2.89717247652128,"Elle"
"species3",1.49718187024458,10.6399648284206,"Claire"
"species2",2.00962963731269,19.7292560886572,"Claire"
"species4",1.46128967344401,14.0045716978653,"Elle"
"species5",2.35635166262214,15.8262669497313,"Claire"
"species2",2.54238754493032,11.7942786154658,"Claire"
"species3",0.887506151756294,6.95721410841888,"Ryan"
"species3",2.61784673115007,8.98879572444858,"Elle"
"species1",1.37947775159575,8.63375946594037,"Elle"
"species3",2.22738463449132,7.65650110108956,"Elle"
"species2",2.3299513190713,13.5208364196486,"Elle"
"species3",1.90005508594928,4.01318248817294,"Ryan"
"species3",1.6774430215701,14.3318306605639,"Ryan"
"species1",2.08266051062103,14.3207624311295,"Elle"
"species2",2.21940935035723,4.00688820465626,"Elle"
"species2",2.44165140997435,13.1974599895027,"Ryan"
"species2",0.973831508049024,22.1511332617225,"Claire"
"species4",1.18181036597049,7.21392259029196,"Ryan"
"species1",2.71520117059409,14.2245212070404,"Claire"
"species5",2.52331442355577,6.08899077190298,"Claire"
"species5",2.21764447445384,15.553557091014,"Elle"
"species3",2.35758920355553,11.2491235996328,"Claire"
"species3",2.4585874588205,18.2595769581158,"Claire"
"species5",0.66953860076716,2.70514635731542,"Claire"
"species1",2.55513854831941,9.7435105693732,"Ryan"
"species4",1.75750620171884,7.36537411937201,"Claire"
"species2",2.1153084153156,9.0136756546185,"Ryan"
